Name,Stock Code,Cutout,New Description,Image
Bendable,TC-0216, L1000*16*16mm,"Bendable Curve 
 White & White Diffuser, 1Mtr,
 L1000*16*16mm",https://i.ibb.co/3Y94fdVg/Bendable-curve-1.png
Bendable,TC-0216/BW, L1000*16*16mm,"Bendable Curve 
 White & Black Diffuser, 1Mtr,
 L1000*16*16mm",https://i.ibb.co/MktdqKrg/Bendable-curve-1-B.png
Bendable,TC-0220, L1000*20*16mm,"Bendable Curve 
 White & White Diffuser, 1Mtr,
 L1000*20*16mm",https://i.ibb.co/yF4f10Jq/bendabke-curve-2.png
Bendable,TC-0220/BW, L1000*20*16mm,"Bendable Curve 
 White & Black Diffuser, 1Mtr,
 L1000*20*16mm",https://i.ibb.co/Jj8bLgkn/bendabke-curve-2-B.png
Trimless,TL-101313,L1000*W13*H14mm,"Thin Trimless 
 White & White diffuser, 1Mtr,
 L1000*W13*H14mm",https://i.ibb.co/23VLnVcT/thin-trimless-WW.png
Trimless,TL-101313/WB,L1000*W13*H14mm,"Thin Trimless 
 White & Black diffuser, 1Mtr,
 L1000*W13*H14mm",https://i.ibb.co/nMVhMk99/thin-trimless-WB.png
Trimless,TL-201430, L1000*W23*H14mm,"Wide Trimless 
 White & White diffuser, 1Mtr,
 1000*W23*H14mm",https://i.ibb.co/Lhq7hyqg/wide-trimless-WW.png
Trimless,TL-201430/WB, L1000*W23*H14mm,"Wide Trimless 
 White & Black diffuser, 1Mtr,
 L1000*W23*H14mm",https://i.ibb.co/ksvBz6jn/wide-trimless-WB.png
Surface,FS-142217,L1000*W17*H22mm,"Deep Surface 
 White & White Diffuser, 1Mtr
  L1000*W17*H22mm",https://i.ibb.co/93cDYJnR/deep-surface-WW.png
surface,FS-142217B,L1000*W17*H22mm,"Deep Surface 
 Black & White Diffuser, 1Mtr
  L1000*W17*H22mm",https://i.ibb.co/hRW1Jp8T/deep-surface-BW.png
Recessed,FR-142217,L1000*W17*H22mm,"Deep Recessed 
 White & White Diffuser, 1Mtr
  L1000*W17*H22mm",https://i.ibb.co/vCbV6hw5/deep-recessed-WW.png
Recessed,FR-142217B,L1000*W17*H22mm,"Deep Recessed 
 Black & White Diffuser, 1Mtr
  L1000*W17*H22mm",https://i.ibb.co/kRqFFPH/deep-recessed-BW.png
Trimless,TL 222542, L1000*W25*H42mm,"Deep Trimless
 White & White Diffuser, 1Mtr
  L1000*W25*H42mm",https://i.ibb.co/B5G1djc5/deep-trimless-ww.png
Suspended,CS-3030B, L1000*W30*H30mm,"Suspended 1 
 Black & White Diffuser, 1Mtr
  L1000*W30*H30mm",https://i.ibb.co/jPRZsCfK/SUSPENDED-1-B.png
Suspended,CS-3034B,L1000*W34*H37mm,"Suspended 2
 Black & White Diffuser, 1Mtr
  L1000*W34*H37mm",https://i.ibb.co/hxmfp63X/SUSPENDED-2-B.png
Suspended,CS-4026B, L1000*W40*H26mm,"Suspended 6
 Black & White Diffuser, 1Mtr
  L1000*W40*H26mm",https://i.ibb.co/fdc5fjgH/Suspended-6-B.png
Suspended,CS-4038,  L1000*W40*H39mm,"Suspended 7
 Black & White Diffuser, 1Mtr
  L1000*W40*H39mm",https://i.ibb.co/WNV1ZcKJ/Suspended-7-B.png
Suspended,CS-3225,  L1000*W32*H25mm,"Suspended 5
 White & White Diffuser, 1Mtr
  L1000*W32*H25mm",https://i.ibb.co/FvS1Ksm/Suspended-5-WW.png
Suspended,CS-3225B,  L1000*W32*H25mm,"Suspended 5
 Black & White Diffuser, 1Mtr
  L1000*W32*H25mm",https://i.ibb.co/bgPxqbdZ/Suspended-5-B.png
Suspended,CS-5075WH, L1000*W50*H75mm,"Suspended 3
 White & White Diffuser, 1Mtr
  L1000*W50*H75mm",https://i.ibb.co/mrXWYdL9/Suspended-3-WW.png
Suspended,CS-5075BH, L1000*W50*H75mm,"Suspended 3
 Black & White Diffuser, 1Mtr
  L1000*W50*H75mm",https://i.ibb.co/HDcRT8cZ/Suspended-3-B.png
Suspended,CS-5175B,L1000*W50*H75mm,"Suspended 4
 Black & White Diffuser, 1Mtr
  L1000*W50*H75mm",https://i.ibb.co/YBQby0jn/Suspended-4-B.png
Water Proof Profile,WP-101518, L1000*18*H15mm,"Water Proof 
 White, 1Mtr,
 L1000*18*H15mm",https://i.ibb.co/4wq9Z1rQ/water-proof.png
Wall Mounted Profile,CT-374915, L1000*49*38mm,"Surface Indirect
 White & White diffuser, 1Mtr,
 L1000*49*38mm",https://i.ibb.co/4yyj84j/Surface-Indirect-01-W.png
